等级,职业,属性,种族,名称,攻,受,速,范,魔,技能,性质
8,法师,暗,人类,艾莉,2,2,1,1,5,魔墙 ￥￥诅咒（将自己的血将为0.5，场上一单位每2回合血*1/2）￥￥美杜莎*2（攻2守2范1，一回合一次瞬移瞬移，攻4次）￥实验（己方一单位全能力+2，6回合后死亡） ￥水晶球（8回合内可攻击和技能场上任何单位,无
5,刺客,雷,人类,E。暗人,3,4,4,1,4,飞跃 保护 隐身 ￥麻痹（破魔；被击中以后6回合不能移动）,攻击三次；飞行；可以在回合开始时魔-1重置大招，这个情况下的大招只能在本回合使用并且本回合不能攻击
5,勇者,火,恶魔,火葬者,4,3,2,2,4,神速 变硬 穿刺 大火葬（4回合一次；横竖全中，伤5，无视魔免，可以攻-1重置使用次数） 保护,可格挡或反击
4,弓箭,土,人类,精兵,3,2,1,14,3,机枪 神速 回避 【0.5重型火炮（使用以后下个进攻回合不能攻击；之后一次普攻伤害+1并且破魔）,普攻范围是周围（范*2+1）*（范*2+1）；普攻带有以下破魔效果：1/3几率使被攻击单位下回合速-2，到1
3,贤者,木,人类,吟游诗人,2,4,2,4,5,守*2【1 回（一回合一次） 回血（一回合一次） 保护 【2洗礼（仅可对‘人类’使用；被使用的单位魔免；4回合）,原地回魔 原地回血
7,法师,木,精灵,元素猎人,3,3,2,2,5,光墙 神速 ￥完全燃烧（4*4，被击中后每回合魔-1；10回合）￥暴风雪（3*3，被击中后6回合不能移动）￥雷神（攻4守5速4范3，10回合） ￥水之波动（全能力+1，8回合）,所有技能的伤害以外效果破魔
8,刺客,土,灵体,不死王利娜,4,4,4,3,5,隐身 变硬 ￥撕裂 ￥风沙（2*4）震开 狂沙（一回合一次；直线5格，移动到第6格，对经过的单位造成伤害）,攻击两次；在攻击对象死之前无法攻击其他单位；占4格；每破坏一个武将或守在4以上的单位移动，攻击，技能重置并且魔+5；此单位周围7*7的对方单位不能回复
4,狂战,土,石人,岩神,3,5,2,1,3,变硬 震开 龙息 岩吸（一回合一次；破魔；可以对‘沙尘’中任意武将使用；那个武将直到下回合结束，任意能力值-1，此单位那个能力值+1）,自然回魔；此单位周围9*9天气变为“沙尘”）
4,法师,光,古龙,神龙 末日光,3,4,3,3,5,石墙 神速 远程龙息 ￥末日光（7*7内8回合不能使用回复技能，每个己方回合开始时血*1/2，8回合，破魔) ,对此单位攻击或造成伤害的单位受到“末日光”的效果；被此单位造成伤害的单位受到“末日光”的效果；此单位对‘暗’属性武将攻击时带有以下破魔效果：那个单位直到下个回合结束时不能使用主动技能
4,骑士,土,人类,天位骑士,4,3,3,1,3,摩托马（攻0守5速4；每个己方回合可以使用一次神速） 保护  六刀流（开关技能；技能在回合开始时使用；攻-1，攻击六次）,弧形攻击
8,勇者,钢,机甲,翡翠,4,4,3,3,0,机枪（一回合一次）导弹（每4回合可以使用3次）离子盾（一回合两次，可以对队友使用）激光（6回合一次，2*10） 量子盾（4回合一次，防三次，可以对队友使用）机甲强化（6回合一次；守＋1，4回合；血＋1/2） 等离子喷射系统（1回合一次；移动直线5格）立场（4回合一次；使用以后周围5*5内己方单位下回合内不受到伤害）,飞行
4,勇者,光,人类,N,2,3,3,1,2,保护 穿刺 吸魔 磁力波（3*3 魔力点-3） N（魔力点-2；魔+1）,攻击一次魔力点+1；每回合开始时决定攻击数=魔；可格挡或反击；魔无上限
4,贤者,炎,兽人,噬血,3,2,3,3,5,回魔 吸魔 魔盾 守*2【1 【1噬血术（一个单位攻+1；4回合；不可叠加）噬血之舞（一回合一次；仅能对己方单位使用，那个单位和此单位同时血+1/4，魔+1，同时直到下个回合结束时不能移动或者使用位移技能）,普攻带有破魔的吸魔效果
9,勇者,土,人类,李,3,5,3,1,5,飞跃 链条 变硬 保护 ￥回天（一周；随时使用） 红热（开关技能；每个己方回合结束时血*0.5；攻+2，速+3） 精华（4回合一次，额外破魔攻击两次，如果在回合结束时有破魔攻击次数没有用过，则魔+剩余次数）,攻击两次；‘红热’处于‘关’的状态时自然回血；没有移动次数限制
3,法师,暗,精灵,咏唱者,1,2,3,4,5,【1麻痹牌(周围3*3对方单位不能使用技能）【1 毒牌（周围3*3对方单位不能使用技能每回合结束时受到2的伤害）【1吸魔牌（周围3*3对方单位不能使用技能每回合结束时被此单位吸魔）【1 光墙 ￥形态转换（攻3守4速3范1，不能使用“麻痹牌”，“毒牌”，“吸魔牌”）,自然回魔
5,刺客,暗,人类,抹杀的使徒,4,1,3,1,4,隐身 分身 ￥额外隐身 吸魔 过早的埋葬（4回合一次；将一个抹杀计数点放置在一个单位上；破魔） ¥抹杀（将场上所有单位上的此单位放置的所有抹杀计数点去掉，并对被去掉计数点单位造成计数点*1/4的破魔血量伤害） 回避,攻击两次；此单位范增加场上此单位放置的“抹杀计数点”的数量
5,骑士,炎,兽人,龙骑,4,4,3,1,5,龙息 召龙（攻3守5速5范4，飞行，占2*2，最多受到一格伤害；攻击范围3*3） 保护 龙斩（一回合一次；伤5格；带有破魔的链条效果） 链条,无
1,剑士,暗,灵体,销魂的死灵,4,0.5,5,1,2,穿刺 吸魔 ￥撕裂,物免；可穿人；飞行；弧形攻击；周围没有敌方武将时魔免
